Avg Year,Type,Avg Deaths,,0
2000.333333,Interstate,41280,,
2012.333333,Interstate,93573.66667,,
2015,Interstate,48805,,
2007,Interstate,35310.33333,,
2012,Interstate,36569.66667,,
2001.333333,Interstate,24684.33333,,
2000,Interstate,71223,,
2005.333333,Interstate,63453,,
2016.666667,Interstate,93957.33333,,
1999.666667,Interstate,282509,,
2012,Interstate,77253.66667,,
2008,Interstate,56243,,
2011.333333,Interstate,53297,,
2009.333333,Interstate,312018.3333,,
2005.666667,Interstate,90623.66667,,
2005.666667,Interstate,55711,,
2005,Interstate,67955.33333,,
2006.666667,Interstate,80681,,
2002.333333,Interstate,43618.66667,,
2019,Interstate,103444.6667,,
2008,Interstate,88534.33333,,
2012.666667,Interstate,33180.66667,,
2008,Interstate,79387,,
2000.333333,Interstate,78709,,
1997,Interstate,35823.33333,,
2016.333333,Interstate,79523.33333,,
2010.333333,Interstate,96055.33333,,
2004,Interstate,27195.66667,,
2000.666667,Interstate,36311.66667,,
2005,Interstate,40547.66667,,
2011,Interstate,32975.66667,,
2003,Interstate,274790.6667,,
2005,Interstate,47312.66667,,
2005.333333,Interstate,52900.33333,,
2016,Interstate,101444.3333,,
1999,Interstate,31783,,
2010,Interstate,51037.33333,,
2004.666667,Interstate,30777,,
2000,Interstate,24186.66667,,
2001.333333,Interstate,31606.66667,,
2014,Interstate,47902,,
2015.666667,Interstate,42030,,
2008.666667,Interstate,28407.33333,,
2019,Interstate,103444.6667,,
2005.333333,Interstate,63137,,
2004,Interstate,46732,,
2008,Interstate,45563,,
2010.333333,Interstate,79641.66667,,
2011.666667,Interstate,105293.3333,,
2006.666667,Interstate,33001.33333,,
2015.333333,Interstate,54912,,
2019,Interstate,65097.33333,,
2006.666667,Interstate,37806.66667,,
2004.666667,Interstate,55689.66667,,
1999.333333,Interstate,52491.66667,,
2004,Interstate,42989.33333,,
2002.666667,Interstate,55829.33333,,
2001,Interstate,23682.66667,,
2001.333333,Interstate,59083,,
2001.666667,Interstate,300491.3333,,
2012,Interstate,100202.6667,,
1994.333333,Interstate,39588,,
2007.666667,Interstate,46518,,
2009,Interstate,116456,,
1993.333333,Intrastate,289859,,
2010.333333,Interstate,39238.66667,,
2012.333333,Interstate,33349.33333,,
2002.666667,Interstate,44754.66667,,
2014.666667,Interstate,48772.66667,,
2000.666667,Interstate,62605.66667,,
2007.666667,Interstate,84677.33333,,
2008,Interstate,70105,,
2000.333333,Interstate,60969,,
2006.333333,Interstate,92078.66667,,
2003,Interstate,51141,,
2011,Interstate,102266,,
1997.333333,Interstate,29578.33333,,
2004.666667,Interstate,305104.3333,,
2003.333333,Interstate,52381.66667,,
2008.666667,Interstate,35602,,
2010,Interstate,101757,,
2012.333333,Interstate,108638,,
2004.333333,Interstate,290853.3333,,
2013.666667,Interstate,103086,,
2009.666667,Interstate,73266.66667,,
2002.333333,Interstate,44586.33333,,
2009.666667,Interstate,45543.33333,,
2014.333333,Interstate,42200.33333,,
1997.666667,Interstate,40752.33333,,
2002.333333,Interstate,67083.66667,,
2012,Interstate,66285,,
2015.333333,Interstate,83110,,
2009.666667,Interstate,301670,,
2006.666667,Interstate,36853.66667,,
2013.333333,Interstate,98862.33333,,
2012.333333,Interstate,53261,,
2006.333333,Interstate,48754,,
2006.666667,Interstate,51512,,
2006.666667,Interstate,55524.66667,,
2004.333333,Interstate,24103,,
2004.333333,Interstate,63772,,
2008.333333,Interstate,37477.33333,,
2007.666667,Interstate,50704,,
2003.666667,Interstate,52193.33333,,
2006,Interstate,331424.3333,,
2010,Interstate,48561.66667,,
2019.333333,Interstate,161975.3333,,
2004.666667,Interstate,45774.66667,,
2009,Interstate,29610.33333,,
2011,Interstate,63918.66667,,
2004,Interstate,57539.66667,,
2005.666667,Interstate,32627.33333,,
2003.666667,Interstate,54932.66667,,
2014,Interstate,65490,,
2002,Interstate,275996.6667,,
1997,Interstate,37536,,
2004.666667,Interstate,84781.66667,,
2016,Interstate,72927,,
2003,Interstate,28321.66667,,
2005,Interstate,50868,,
2011.666667,Interstate,59139.66667,,
2004.666667,Interstate,49329,,
2001,Interstate,52301,,
2003.666667,Interstate,50260.66667,,
2011.333333,Interstate,54395.33333,,
2000.666667,Interstate,23229.33333,,
2005,Interstate,30253.33333,,
1999.333333,Interstate,60547.33333,,
2001.666667,Interstate,27474.33333,,
2003.666667,Interstate,27696,,
2014.333333,Interstate,42200.33333,,
2010.666667,Interstate,71363,,
2005.333333,Interstate,92153.33333,,
2009,Interstate,35634.33333,,
2007.666667,Interstate,45918.66667,,
2010,Interstate,43592.66667,,
2009,Interstate,89102.33333,,
2010.333333,Interstate,117096,,
2014.333333,Interstate,140427.6667,,
2013.333333,Interstate,92141.66667,,
2004.666667,Interstate,72070.33333,,
2013,Interstate,105313.6667,,
1994.666667,Interstate,292086,,
1996,Interstate,287230.3333,,
2013,Interstate,58302.33333,,
2002.666667,Interstate,49194.33333,,
2000.666667,Interstate,37811,,
2001.333333,Interstate,33888.66667,,
2006,Interstate,305561,,
1997.333333,Interstate,39158,,
2005.666667,Interstate,31664.33333,,
2004.666667,Interstate,55275.33333,,
2006.666667,Interstate,39931,,
2006.666667,Interstate,290636.6667,,
2007.666667,Interstate,20006,,
2009,Interstate,70336.33333,,
2012.666667,Interstate,54182.66667,,
2006.333333,Interstate,83743,,
2009,Interstate,46513,,
2013,Interstate,51502,,
2005.333333,Interstate,57359.33333,,
2018,Interstate,110393.6667,,
2005,Interstate,93080,,
1995,Interstate,292785.6667,,
2006,Interstate,23114.66667,,
2019.333333,Interstate,122380.6667,,
2008.333333,Interstate,36175.33333,,
1998,Interstate,40336.33333,,
2002.666667,Interstate,53100,,
1997.333333,Interstate,295854,,
2011.333333,Interstate,65218.33333,,
2002,Interstate,58606.66667,,
2000,Interstate,43197,,
2005.333333,Interstate,46456.66667,,
1999,Interstate,29662.33333,,
2004.333333,Interstate,49985.66667,,
2002.333333,Interstate,53083.66667,,
1999,Interstate,34127,,
1999,Interstate,44403,,
2010.666667,Interstate,76775.66667,,
2001.666667,Interstate,274457.6667,,
1996.333333,Interstate,47038,,
2013,Interstate,72131.66667,,
2002,Interstate,295220.3333,,
2005.333333,Interstate,88471.33333,,
2006.666667,Interstate,50852.66667,,
2017.333333,Interstate,116758.6667,,
2012.666667,Interstate,35297,,
2003.666667,Interstate,24485,,
1998,Interstate,39228.66667,,
2010,Interstate,63090.33333,,
2007,Interstate,86803.66667,,
2010,Interstate,69897.66667,,
2008.333333,Interstate,49260,,
2003.666667,Interstate,61063.33333,,
2000.333333,Interstate,58526.33333,,
2005.666667,Interstate,91032,,
2008.333333,Interstate,30903.66667,,
2007.666667,Interstate,83636.66667,,
1993.666667,Interstate,299966,,
2011.666667,Interstate,105056.3333,,
2005.666667,Interstate,38441.33333,,
2004.333333,Interstate,95497.33333,,
1997.666667,Interstate,284084.6667,,
2009.666667,Interstate,75624,,
2005.666667,Interstate,30796,,
1998.666667,Interstate,54873.33333,,
2008.333333,Interstate,47693.33333,,
1994.666667,Interstate,47060,,
2006.333333,Interstate,22946,,
2017,Interstate,121612.3333,,
2019,Interstate,80027.66667,,
2006,Interstate,42851.33333,,
1996.666667,Interstate,46393.66667,,
1999,Interstate,41352.33333,,
2000,Interstate,74629.66667,,
2009,Interstate,313849.6667,,
2009,Interstate,86530.33333,,
2006,Interstate,81658.66667,,
2002.666667,Interstate,273251.6667,,
2008,Interstate,26431,,
2005,Interstate,52200.66667,,
2001.333333,Interstate,34328.33333,,
2006,Interstate,20815.66667,,
2005.333333,Interstate,86421.66667,,
2016,Interstate,88688.33333,,
